"filename", "language", "C", "C++", "Makefile", "comment", "blank", "total"
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\Makefile", "Makefile", 0, 0, -51, -6, -15, -72
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\address_translation_unit.h", "C++", 0, -7, 0, 0, -4, -11
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\alu.h", "C", -12, 0, 0, 0, -5, -17
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\cpu.h", "C", -11, 0, 0, 0, -6, -17
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\cpu_internal.h", "C", -36, 0, 0, -1, -10, -47
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\decoder.h", "C++", 0, -6, 0, 0, -4, -10
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\executor.h", "C", -16, 0, 0, 0, -5, -21
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\structs\FlagPolicy.h", "C++", 0, -28, 0, 0, -6, -34
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\structs\InstructionMetadata.h", "C++", 0, -48, 0, 0, -7, -55
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\core\structs\instruction.h", "C", -36, 0, 0, 0, -11, -47
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\hardware_sim\bus.h", "C++", 0, -13, 0, 0, -7, -20
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\hardware_sim\devices.h", "C++", 0, -19, 0, 0, -9, -28
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\ids\opclass_list.h", "C++", 0, -105, 0, 0, -8, -113
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\ids\opcode_list.h", "C++", 0, -277, 0, -4, -5, -286
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\ids\register_ids.h", "C++", 0, -27, 0, -10, -6, -43
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\ids\str_opcode_list.h", "C", -4, 0, 0, 0, -3, -7
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\machine\boot.h", "C++", 0, -9, 0, 0, -5, -14
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\machine\display.h", "C++", 0, -6, 0, 0, -3, -9
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\machine\display_api.h", "C++", 0, -21, 0, 0, -5, -26
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\machine\gdt.h", "C++", 0, -9, 0, -1, -6, -16
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\machine\program_loader.h", "C++", 0, -13, 0, -1, -5, -19
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\machine\utils.h", "C++", 0, -6, 0, 0, -1, -7
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\tables\decode_tables.h", "C", -8, 0, 0, 0, -5, -13
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\include\tables\execute_tables.h", "C", -8, 0, 0, -2, -6, -16
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\core\address_translation_unit.c", "C", -9, 0, 0, 0, -2, -11
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\core\cpu.c", "C", -21, 0, 0, 0, -4, -25
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\core\int_utils.c", "C", 35, 0, 0, 0, 8, 43
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\core\internal\executor.c", "C", 211, 0, 0, 35, 23, 269
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\hardware_sim\devices.c", "C", 1, 0, 0, 0, 2, 3
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\machine\display.c", "C", -357, 0, 0, -12, -93, -462
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\machine\display_api.c", "C", -2, 0, 0, 0, -1, -3
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\machine\main.c", "C", 8, 0, 0, 0, 2, 10
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\machine\str_opcode_list.c", "C", -7, 0, 0, 0, -1, -8
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\machine\utils.c", "C", -88, 0, 0, 0, -5, -93
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\ui\display.c", "C", 603, 0, 0, 21, 128, 752
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\ui\display_api.c", "C", 2, 0, 0, 0, 1, 3
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\ui\str_opcode_list.c", "C", 7, 0, 0, 0, 1, 8
"c:\Users\Khyl Aldana\Desktop\i386\i386-IA-32-x86-Emulator\src\ui\utils.c", "C", 88, 0, 0, 0, 5, 93
"Total", "-", 340, -594, -51, 19, -83, -369